id_a	source_a	name_a	id_b	source_b	name_b	distance_m	name_score
1e0301db-0751-4e6e-8e4e-b47b6ca9bfb1	ddproperty	The Cube Urban Sathorn - Chan	5a4014d3-f0f8-4949-b0ac-162720605f99	fazwaz	The CUBE Urban Sathorn – Chan	2.2	1.000
4ce3226d-6aff-4a7d-9c58-a361e73da3ae	dotproperty	CANVAS Cherngtalay	6a20eb7d-566f-4fb5-b517-188b7117a85a	ddproperty	CANVAS Cherngtalay	2.6	1.000
4ce3226d-6aff-4a7d-9c58-a361e73da3ae	dotproperty	CANVAS Cherngtalay	7d09ffc7-06bc-4fdf-a3a7-7d61d870d3a9	ddproperty	CANVAS Cherngtalay	2.6	1.000
427659ba-ec05-4070-8207-b6f06bdc7c2b	fazwaz	The Privacy Jatujak	76666035-0ce9-4920-b05e-f3d16ec75d65	dotproperty	The Privacy Jatujak	2.7	1.000
427659ba-ec05-4070-8207-b6f06bdc7c2b	fazwaz	The Privacy Jatujak	a5f4f151-77f5-406f-8e64-139442a2dde2	dotproperty	The Privacy Jatujak	2.7	1.000
48c7c381-eeee-4de6-9145-2c624f2f4aa0	fazwaz	The Strand Thonglor	bc17f48e-ae63-473f-bf05-7db2b8beb0ee	dotproperty	The Strand Thonglor	2.7	1.000
48c7c381-eeee-4de6-9145-2c624f2f4aa0	fazwaz	The Strand Thonglor	c839219f-3ed4-4e1c-a01c-6cafd0dd6126	dotproperty	The Strand Thonglor	2.7	1.000
8de78dfd-acb5-485d-a5d9-0bad6efee6ce	dotproperty	So Origin Siriraj	ca6d4c5a-ced4-48ec-889b-45abd64777c7	fazwaz	So Origin Siriraj	2.7	1.000
a50badf2-ee63-4005-8a18-12ef8dad5e82	fazwaz	Amanta Ratchada	ac38de2b-6c02-4cf7-9606-ae488d479f83	dotproperty	Amanta Ratchada	2.8	1.000
48206675-30f2-4a9b-9752-31469ad756dd	ddproperty	Wyndham Fantasea Condo Chalong	94fe0311-20db-425c-8453-b1239afb2e8e	dotproperty	Wyndham Fantasea Condo Chalong	3.0	1.000
96b25c0f-3a8c-4d56-901e-03737be388c5	ddproperty	The Zero Bang Tao	fb417bc2-9c63-4941-ae0f-79f4e0322bdc	dotproperty	The Zero Bang Tao	3.3	1.000
33e56b6c-4cf6-4043-b18e-cc3096819902	ddproperty	Peylaa Phuket Bang Tao	b6e1bf00-7159-4947-8b4b-839a0d1a9058	dotproperty	PEYLAA Phuket Bang Tao	3.6	1.000
3d5a9f9a-0f68-4ada-aa7d-c1c5c082eeff	dotproperty	Skyrise Avenue Sukhumvit 64	e3f934e8-32e0-4ceb-a8e3-84e8b42204bc	fazwaz	Skyrise Avenue Sukhumvit 64	3.6	1.000
0c03de8a-c974-4d91-8be2-06cff636ccb4	dotproperty	The Residences 38	797b6a19-b5bc-4bf0-b34d-b82a476a2f17	fazwaz	The Residences 38	3.7	1.000
1daa656d-97ed-4c7a-88fc-6f3c185fdee1	dotproperty	The Residences 38	797b6a19-b5bc-4bf0-b34d-b82a476a2f17	fazwaz	The Residences 38	3.7	1.000
14132a6d-3697-48ad-8bc3-c6806e23a493	ddproperty	Menam Residences	5115ad57-def0-4514-8c08-af8f4a362f4d	dotproperty	Menam Residences Condominium	3.9	1.000
a2180ff6-ca45-4f99-a964-bf2762f2232d	dotproperty	The Modeva	afbe1eac-3762-4000-9b86-998cf6789b38	ddproperty	The Modeva	3.9	1.000
4c9fa3a9-ca77-4f95-bcf8-ec75b005d4b0	dotproperty	Plus 38 Hip	5eb3c4c7-f328-4811-8200-80ecf921ef29	fazwaz	Plus 38 Hip	3.9	1.000
89e3eeac-be36-446b-b8a0-e0bacb66566e	ddproperty	The Residences at InterContinental Phuket Resort	9ccf969b-4b6f-4242-9ed9-7508cb2484d5	dotproperty	The Residences at InterContinental Phuket Resort	4.0	1.000
4f014378-56be-465b-871a-2e6bb7f65924	dotproperty	C Ekkamai	5be426d3-1792-4758-923c-474eebaa4293	ddproperty	C Ekkamai	4.1	1.000
072aa184-14e9-4815-9c3f-a9986a2ba027	dotproperty	Katabello	9228ca27-5d8f-4798-b1e1-a6cc7b4eef5d	ddproperty	The Katabello	4.5	1.000
0d7d7875-2ce1-412e-b9fc-f642433d6a3a	fazwaz	Le Monaco Residence Ari	43401ec5-7b9b-40f1-915a-6b24e3288347	dotproperty	Le Monaco Residence Ari	4.7	1.000
5ecbe2d8-96d0-4ae9-b9f6-49c500dfeb99	fazwaz	Chidlom Place	6a7f3507-d5f8-4992-a75d-56d4b233ea3e	dotproperty	Chidlom Place	4.7	1.000
603ed127-9d6e-4945-b20f-088260188a3c	fazwaz	Maxxi Prime Ratchada - Sutthisan	a539ae3a-0757-4856-9e12-a548ec8a9b34	dotproperty	Maxxi Prime Ratchada - Sutthisan	5.0	1.000
013d52d9-6561-43f2-95e8-e263f439b772	dotproperty	Atmoz Ladprao 71	1c441af6-262d-4ed9-8b46-9a51e6ac6ffe	fazwaz	Atmoz Ladprao 71	5.1	1.000
c5d83190-793b-48d5-b8f3-2ca202a1f549	dotproperty	Ruenrudee Condominium	e19594fe-9801-405c-82da-990754e853a8	fazwaz	Ruenrudee Condominium	5.6	1.000
4074de60-f2f5-48f9-9d8c-04d59da813d2	ddproperty	The Title Adora Rawai	d4f0de7b-08a4-41e3-af4e-32da7170860a	dotproperty	The Title Adora Rawai	5.9	1.000
05119cf4-198f-40a5-9a6e-b7111d45205b	dotproperty	Sense Phaholyothin	77866a40-e659-4a92-b76d-7f9e0f56ea7d	fazwaz	Sense Phaholyothin	6.0	1.000
817c64ba-6afb-4ff3-9257-2fc83e92aabb	ddproperty	The Pixels Cape Panwa	ee870e58-6af7-4c9e-a240-82096454768a	dotproperty	THE PIXELS CAPE PANWA CONDO	6.2	1.000
216abf40-9f56-4fd3-b77c-41448225c473	dotproperty	Urbana Sathorn	5645c7dc-bf10-4575-9d52-06a7123b1dd7	fazwaz	Urbana Sathorn	6.5	1.000
